S.NO,Institute Code,Institute Name
1,AARM,AAR MAHAVEER ENGINEERING COLLEGE
2,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS)
3,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI
4,AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY
5,AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI
6,ANRK,ANURAG ENGINEERING COLLGE
7,ANRP,ANURAG PHARMACY COLLEGE
8,ANWP,ANWAR-ULOOM COLLEGE OF PHARMACY
9,ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE
10,ARYA,ARYA COLLEGE OF PHARMACY
11,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY
12,AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE
13,AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE
14,AVHP,AVANTHI INST OF PHARMSCI
15,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY
16,AVNI,AVN INST OF ENGG TECHNOLOGY
17,AZAD,AZAD COLLEGE OF ENGINEERING AND TECHNOLOGY
18,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY
19,BIPS,BALAJI INST OF PHARM SCI
20,BIPT,BHARAT SCHOOL OF PHARMACY
21,BITL,BHARAT INSTITUTE OF TECHNOLOGY
22,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI
23,BNPW,BOJJAM NARASIMHULU PHARM COLL FOR WOMEN
24,BOMA,BOMMA INST OF TECHNOLOGY AND SCI
25,BOMP,BOMMA INST OF PHARMACY
26,BOSE,ANU BOSE INSTT OF TECHNOLOGY
27,BPCP,BHASKAR PHARMACY COLLEGE
28,BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN
29,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS
30,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY
31,BRWN,BROWNS COLL OF PHARMACY
32,BSKR,BHASKAR ENGINEERING COLLEGE
33,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY
34,BVRW,BVRIT COLLEGE OF ENGINEERING FOR WOMEN
35,CARE,CARE COLL OF PHARMACY
36,CBCP,CHILKUR BALAJI COLLEGE OF PHARMACY
37,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY
38,CDTK,COLLEGE OF DAIRY TECHNOLOGY
39,CFSR,COLLEGE OF FOOD SCIENCE AND TECHNOLOGY
40,CHET,SRI CHAITANYA TECHNICAL CAMPUS
41,CHTN,SREE CHAITANYA COLLEGE OF ENGINEERING
42,CHTP,SREE CHAITANYA INST OF PHARM SCI
43,CHTS,SREE CHAITANYA INST OF TECHNOLOGY SCIENCES
44,CIPH,CHAITANYA INST OF PHARM SCI
45,CJIT,CHRISTU JYOTHI INSTITUTE OF TECHNOLOGY AND SCI
46,CMRG,CMR TECHNICAL CAMPUS (AUTONOMOUS)
47,CMRK,C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS)
48,CMRM,CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS)
49,CMRN,CMR ENGG COLLEGE (AUTONOMOUS)
50,CMRN,CMR ENGG COLLEGE (AUTONOMOUS)
51,CMRP,C M R COLL OF PHARMACY
52,CVMP,CVM COLLEGE OF PHARMACY
53,CVRH,CVR COLLEGE OF ENGINEERING
54,CVSR,ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG)
55,DARE,DARIPALLY ANANTHA RAMULU COLLOF ENGGAND TECH
56,DCET,DECCAN COLLEGE OF ENGINEERING AND TECHNOLOGY
57,DIPS,DHANVANTHARI INST OF PHARM SCI
58,DNVP,DHANVANTHARI COLLEGE OF PHARM SCI
